"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"898885x10"	"100x32"	"CMOVxTxT"	93443812
"898885x10"	"100x32"	"CMOVxTxT"	93911760
"898885x10"	"100x32"	"CMOVxTxT"	93852208
"11148x500"	"1000xF"	"CMOVxTxT"	1762484
"11148x500"	"1000xF"	"CMOVxTxT"	1765548
"11148x500"	"1000xF"	"CMOVxTxT"	1914144
"11148x500"	"1000xF"	"CMOVxTxT"	1862428
"11148x500"	"1000xF"	"CMOVxTxT"	1869672
"3883400xF"	"1x8"	"TxTxT"	150532548
"3883400xF"	"1x8"	"TxTxT"	149565940
"3883400xF"	"1x8"	"TxTxT"	199509912
"3883400xF"	"1x8"	"TxTxT"	168773036
"3883400xF"	"1x8"	"TxTxT"	184036676
"2580x500"	"2x32"	"TxTxT"	153052
"2580x500"	"2x32"	"TxTxT"	123588
"2580x500"	"2x32"	"TxTxT"	152484
"2580x500"	"2x32"	"TxTxT"	164284
"2580x500"	"2x32"	"TxTxT"	158728
"32xF"	"1000x16"	"CMOVxTxT"	3516
"32xF"	"1000x16"	"CMOVxTxT"	3448
"32xF"	"1000x16"	"CMOVxTxT"	3500
"32xF"	"1000x16"	"CMOVxTxT"	3240
"32xF"	"1000x16"	"CMOVxTxT"	3364
"32x10"	"10x16"	"CMOVxFxT"	3004
"32x10"	"10x16"	"CMOVxFxT"	3396
"32x10"	"10x16"	"CMOVxFxT"	3344
"32x10"	"10x16"	"CMOVxFxT"	3060
"32x10"	"10x16"	"CMOVxFxT"	3308
"2580x500"	"5x32"	"FxTxT"	224688
"2580x500"	"5x32"	"FxTxT"	210704
"2580x500"	"5x32"	"FxTxT"	231416
"2580x500"	"5x32"	"FxTxT"	234280
"2580x500"	"5x32"	"FxTxT"	223368
"16777216xT"	"500xF"	"FxTxF"	47392603704
"16777216xT"	"500xF"	"FxTxF"	47415389128
"16777216xT"	"500xF"	"FxTxF"	47308365868
"16777216xT"	"500xF"	"FxTxF"	47649940956
"16777216xT"	"500xF"	"FxTxF"	47257731384
"11148x500"	"Fx16"	"CMOVxTxF"	630936
"11148x500"	"Fx16"	"CMOVxTxF"	650904
"11148x500"	"Fx16"	"CMOVxTxF"	649776
"11148x500"	"Fx16"	"CMOVxTxF"	649564
"11148x500"	"Fx16"	"CMOVxTxF"	649640
"48160x500"	"Tx16"	"CMOVxTxF"	21238216
