"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"48160x10"	"500x32"	"FxFxF"	104596284
"48160x10"	"500x32"	"FxFxF"	104967884
"597xF"	"Fx16"	"CMOVxFxF"	206832
"597xF"	"Fx16"	"CMOVxFxF"	205928
"597xF"	"Fx16"	"CMOVxFxF"	205956
"597xF"	"Fx16"	"CMOVxFxF"	205864
"597xF"	"Fx16"	"CMOVxFxF"	205372
"597x500"	"1xF"	"FxTxF"	556572
"597x500"	"1xF"	"FxTxF"	630532
"597x500"	"1xF"	"FxTxF"	527192
"597x500"	"1xF"	"FxTxF"	566004
"597x500"	"1xF"	"FxTxF"	546864
"11148x500"	"1x32"	"FxFxF"	6273732
"11148x500"	"1x32"	"FxFxF"	6123664
"11148x500"	"1x32"	"FxFxF"	6192320
"11148x500"	"1x32"	"FxFxF"	6716020
"11148x500"	"1x32"	"FxFxF"	6270252
"32x10"	"50x32"	"CMOVxFxT"	24804
"32x10"	"50x32"	"CMOVxFxT"	23208
"32x10"	"50x32"	"CMOVxFxT"	23888
"32x10"	"50x32"	"CMOVxFxT"	24304
"32x10"	"50x32"	"CMOVxFxT"	24176
"32xF"	"500xF"	"FxFxF"	26580
"32xF"	"500xF"	"FxFxF"	25336
"32xF"	"500xF"	"FxFxF"	25964
"32xF"	"500xF"	"FxFxF"	26320
"32xF"	"500xF"	"FxFxF"	26348
"2580x10"	"10x32"	"CMOVxFxT"	2770468
"2580x10"	"10x32"	"CMOVxFxT"	2736392
"2580x10"	"10x32"	"CMOVxFxT"	2795116
"2580x10"	"10x32"	"CMOVxFxT"	2799296
"2580x10"	"10x32"	"CMOVxFxT"	2700464
"32xT"	"500x16"	"FxFxT"	26656
"32xT"	"500x16"	"FxFxT"	25216
"32xT"	"500x16"	"FxFxT"	26036
"32xT"	"500x16"	"FxFxT"	26452
"32xT"	"500x16"	"FxFxT"	26480
"138xT"	"50x16"	"CMOVxTxT"	145048
"138xT"	"50x16"	"CMOVxTxT"	144548
"138xT"	"50x16"	"CMOVxTxT"	145272
"138xT"	"50x16"	"CMOVxTxT"	144324
"138xT"	"50x16"	"CMOVxTxT"	142308
"48160x500"	"2xF"	"CMOVxTxF"	70548764
"48160x500"	"2xF"	"CMOVxTxF"	67710620
"48160x500"	"2xF"	"CMOVxTxF"	68293552
"48160x500"	"2xF"	"CMOVxTxF"	69268680
"48160x500"	"2xF"	"CMOVxTxF"	73936880
"32x10"	"10x16"	"TxTxT"	21412
"32x10"	"10x16"	"TxTxT"	22008
"32x10"	"10x16"	"TxTxT"	22500
"32x10"	"10x16"	"TxTxT"	23260
"32x10"	"10x16"	"TxTxT"	22764
"48160x10"	"500xF"	"TxTxT"	96325480
"48160x10"	"500xF"	"TxTxT"	96806000
"48160x10"	"500xF"	"TxTxT"	96020792
"48160x10"	"500xF"	"TxTxT"	96312588
"48160x10"	"500xF"	"TxTxT"	96512080
"138x10"	"100x16"	"CMOVxTxF"	154056
"138x10"	"100x16"	"CMOVxTxF"	155976
"138x10"	"100x16"	"CMOVxTxF"	156020
"138x10"	"100x16"	"CMOVxTxF"	155164
"138x10"	"100x16"	"CMOVxTxF"	168492
"32x10"	"10x32"	"FxTxF"	23084
"32x10"	"10x32"	"FxTxF"	24380
"32x10"	"10x32"	"FxTxF"	24576
"32x10"	"10x32"	"FxTxF"	25356
"32x10"	"10x32"	"FxTxF"	25148
"138xT"	"50x8"	"FxTxT"	150896
"138xT"	"50x8"	"FxTxT"	152424
"138xT"	"50x8"	"FxTxT"	153588
"138xT"	"50x8"	"FxTxT"	152768
"138xT"	"50x8"	"FxTxT"	150032
"208064x10"	"10x32"	"CMOVxTxT"	220846608
"208064x10"	"10x32"	"CMOVxTxT"	237518684
"208064x10"	"10x32"	"CMOVxTxT"	235628868
"208064x10"	"10x32"	"CMOVxTxT"	208661268
"208064x10"	"10x32"	"CMOVxTxT"	233537012
"898885x500"	"2x32"	"FxTxT"	597229680
"898885x500"	"2x32"	"FxTxT"	545176792
"898885x500"	"2x32"	"FxTxT"	684323276
"898885x500"	"2x32"	"FxTxT"	691091828
"898885x500"	"2x32"	"FxTxT"	608555108
"208064x10"	"500xF"	"FxFxT"	485124616
"208064x10"	"500xF"	"FxFxT"	486348048
"208064x10"	"500xF"	"FxFxT"	485214860
"208064x10"	"500xF"	"FxFxT"	482749348
"208064x10"	"500xF"	"FxFxT"	487471880
"2580x500"	"100x8"	"TxFxT"	3873968
"2580x500"	"100x8"	"TxFxT"	3821240
"2580x500"	"100x8"	"TxFxT"	3815324
"2580x500"	"100x8"	"TxFxT"	3825592
"2580x500"	"100x8"	"TxFxT"	3774260
"3883400x500"	"500x8"	"FxFxT"	7541554960
"3883400x500"	"500x8"	"FxFxT"	7569625304
"3883400x500"	"500x8"	"FxFxT"	7540511512
"3883400x500"	"500x8"	"FxFxT"	7526200272
