"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Count
"3100571xF"	"Fx32"	"FxFxT"	6766187
"3100571xF"	"Fx32"	"FxFxT"	6766187
"3100571xF"	"Fx32"	"FxFxT"	6766187
"3100571xF"	"Fx32"	"FxFxT"	6766187
"3100571xF"	"Fx32"	"FxFxT"	6766187
"208064xF"	"50x32"	"FxFxT"	1745175
"208064xF"	"50x32"	"FxFxT"	1756296
"208064xF"	"50x32"	"FxFxT"	1760513
"208064xF"	"50x32"	"FxFxT"	1724749
"208064xF"	"50x32"	"FxFxT"	1792374
"5070xF"	"500x8"	"FxFxT"	51574
"5070xF"	"500x8"	"FxFxT"	52004
"5070xF"	"500x8"	"FxFxT"	51896
"5070xF"	"500x8"	"FxFxT"	51775
"5070xF"	"500x8"	"FxFxT"	51584
"148437xF"	"100x32"	"FxFxT"	1359149
"148437xF"	"100x32"	"FxFxT"	1331095
"148437xF"	"100x32"	"FxFxT"	1379022
"148437xF"	"100x32"	"FxFxT"	1357157
"148437xF"	"100x32"	"FxFxT"	1367080
"3100571xF"	"50x16"	"TxFxT"	25408869
"3100571xF"	"50x16"	"TxFxT"	26281096
"3100571xF"	"50x16"	"TxFxT"	25326987
"3100571xF"	"50x16"	"TxFxT"	25473479
"3100571xF"	"50x16"	"TxFxT"	25651732
"45xF"	"2x16"	"TxFxT"	170
"45xF"	"2x16"	"TxFxT"	136
"45xF"	"2x16"	"TxFxT"	126
"45xF"	"2x16"	"TxFxT"	115
"45xF"	"2x16"	"TxFxT"	120
"53898xF"	"Tx16"	"FxFxT"	788502
"53898xF"	"Tx16"	"FxFxT"	788284
"53898xF"	"Tx16"	"FxFxT"	788302
"53898xF"	"Tx16"	"FxFxT"	788238
"53898xF"	"Tx16"	"FxFxT"	788282
"38452xF"	"50xF"	"TxFxT"	394197
"38452xF"	"50xF"	"TxFxT"	392933
"38452xF"	"50xF"	"TxFxT"	395975
"38452xF"	"50xF"	"TxFxT"	397435
"38452xF"	"50xF"	"TxFxT"	398092
"803192xF"	"100x8"	"FxFxT"	6817583
"803192xF"	"100x8"	"FxFxT"	7036967
"803192xF"	"100x8"	"FxFxT"	6957122
"803192xF"	"100x8"	"FxFxT"	6964567
"803192xF"	"100x8"	"FxFxT"	6840397
"13962xF"	"Fx16"	"TxFxT"	27923
"13962xF"	"Fx16"	"TxFxT"	27923
"13962xF"	"Fx16"	"TxFxT"	27923
"13962xF"	"Fx16"	"TxFxT"	27923
"13962xF"	"Fx16"	"TxFxT"	27923
"1313xF"	"1000x16"	"TxFxT"	12262
"1313xF"	"1000x16"	"TxFxT"	12206
"1313xF"	"1000x16"	"TxFxT"	12257
"1313xF"	"1000x16"	"TxFxT"	12215
"1313xF"	"1000x16"	"TxFxT"	12214
"340xF"	"FxF"	"TxFxT"	1444
"340xF"	"FxF"	"TxFxT"	1444
"340xF"	"FxF"	"TxFxT"	1444
"340xF"	"FxF"	"TxFxT"	1444
"340xF"	"FxF"	"TxFxT"	1444
"75549xF"	"2xF"	"TxFxT"	648407
"75549xF"	"2xF"	"TxFxT"	675361
"75549xF"	"2xF"	"TxFxT"	700859
"75549xF"	"2xF"	"TxFxT"	661248
"75549xF"	"2xF"	"TxFxT"	700524
"11969176xF"	"Tx32"	"FxFxT"	267601002
"11969176xF"	"Tx32"	"FxFxT"	267603815
"11969176xF"	"Tx32"	"FxFxT"	267604827
"11969176xF"	"Tx32"	"FxFxT"	267605446
"11969176xF"	"Tx32"	"FxFxT"	267599366
"668xF"	"5xF"	"FxFxT"	3700
"668xF"	"5xF"	"FxFxT"	3667
"668xF"	"5xF"	"FxFxT"	3587
"668xF"	"5xF"	"FxFxT"	4097
"668xF"	"5xF"	"FxFxT"	3882
"9961xF"	"100xF"	"TxFxT"	97565
"9961xF"	"100xF"	"TxFxT"	97910
"9961xF"	"100xF"	"TxFxT"	98504
"9961xF"	"100xF"	"TxFxT"	97801
"9961xF"	"100xF"	"TxFxT"	96640
"291643xF"	"1000x8"	"FxFxT"	3426719
"291643xF"	"1000x8"	"FxFxT"	3430790
"291643xF"	"1000x8"	"FxFxT"	3432920
"291643xF"	"1000x8"	"FxFxT"	3428912
"291643xF"	"1000x8"	"FxFxT"	3430958
"8539032xF"	"1000xF"	"TxFxT"	138775196
"8539032xF"	"1000xF"	"TxFxT"	138849435
"8539032xF"	"1000xF"	"TxFxT"	138626597
"8539032xF"	"1000xF"	"TxFxT"	138624097
"8539032xF"	"1000xF"	"TxFxT"	138476319
"408797xF"	"100x16"	"FxFxT"	3617658
"408797xF"	"100x16"	"FxFxT"	3663759
"408797xF"	"100x16"	"FxFxT"	3690125
"408797xF"	"100x16"	"FxFxT"	3647727
"408797xF"	"100x16"	"FxFxT"	3725002
"573012xF"	"Fx8"	"TxFxT"	752807
"573012xF"	"Fx8"	"TxFxT"	752807
"573012xF"	"Fx8"	"TxFxT"	752807
"573012xF"	"Fx8"	"TxFxT"	752807
"573012xF"	"Fx8"	"TxFxT"	752807
"243xF"	"Tx8"	"FxFxT"	1717
"243xF"	"Tx8"	"FxFxT"	1718
"243xF"	"Tx8"	"FxFxT"	1714
"243xF"	"Tx8"	"FxFxT"	1712
"243xF"	"Tx8"	"FxFxT"	1733
"1125835xF"	"5x16"	"FxFxT"	4496819
"1125835xF"	"5x16"	"FxFxT"	4913698
"1125835xF"	"5x16"	"FxFxT"	4336078
"1125835xF"	"5x16"	"FxFxT"	5026213
"1125835xF"	"5x16"	"FxFxT"	3337165
"11969176xF"	"10x32"	"TxFxT"	76861339
"11969176xF"	"10x32"	"TxFxT"	71943135
"11969176xF"	"10x32"	"TxFxT"	74793500
"11969176xF"	"10x32"	"TxFxT"	73395397
"11969176xF"	"10x32"	"TxFxT"	74744499
"19571xF"	"50x32"	"TxFxT"	158148
"19571xF"	"50x32"	"TxFxT"	158424
